datetime_round,lat,lon,sog_knots,cog_deg,stw_knots,awa_deg,aws_knots,heading_deg,twa_raw,twa,tack
2025-07-26 14:17:15,53.299226399999995,-6.095131533333333,4.434,322.074,5.7125,325.6,10.18,323.0,288.6,71.39999999999998,port
2025-07-26 14:17:16,53.299245666666664,-6.095157166666667,4.46,321.14,5.725,322.8,9.24,323.3333333333333,286.1333333333333,73.86666666666667,port
2025-07-26 14:17:17,53.2992621,-6.095178033333333,4.476,322.526,5.7375,320.0,8.3,323.6666666666667,283.66666666666674,76.33333333333326,port
2025-07-26 14:17:18,53.299278533333336,-6.0951989,4.492,323.912,5.75,321.0,8.25,324.0,285.0,75.0,port
2025-07-26 14:17:19,53.299294966666665,-6.095219766666667,4.508,325.298,5.7625,322.0,8.2,324.125,286.125,73.875,port
2025-07-26 14:17:20,53.2993114,-6.095240633333334,4.524,326.68399999999997,5.7749999999999995,336.0,13.8,324.25,300.25,59.75,port
2025-07-26 14:17:21,53.29932783333334,-6.0952615,4.54,328.07,5.7875,331.3333333333333,12.033333333333333,324.375,295.70833333333326,64.29166666666674,port
2025-07-26 14:17:22,53.29934488888889,-6.095282611111111,4.528333333333333,327.4,5.8,326.6666666666667,10.266666666666667,324.5,291.16666666666674,68.83333333333326,port
2025-07-26 14:17:23,53.29936194444445,-6.095303722222223,4.516666666666667,326.73,5.8,322.0,8.5,324.625,286.625,73.375,port
2025-07-26 14:17:24,53.299379,-6.095324833333334,4.505,326.06,5.8,329.5,11.1,324.75,294.25,65.75,port
2025-07-26 14:17:25,53.299396055555555,-6.095345944444444,4.493333333333333,325.39,5.85,337.0,13.7,324.875,301.875,58.125,port
2025-07-26 14:17:26,53.299413111111114,-6.095367055555556,4.4816666666666665,324.72,5.9,333.0,12.559999999999999,325.0,298.0,62.0,port
2025-07-26 14:17:27,53.29943016666667,-6.095388166666667,4.47,324.05,5.95,329.0,11.42,325.6666666666667,294.66666666666674,65.33333333333326,port
2025-07-26 14:17:28,53.29944770833333,-6.095407583333333,4.46,325.165,6.0,325.0,10.28,326.3333333333333,291.33333333333326,68.66666666666674,port
2025-07-26 14:17:29,53.299465250000004,-6.095427,4.449999999999999,326.28,6.02,321.0,9.14,327.0,288.0,72.0,port
2025-07-26 14:17:30,53.29948279166667,-6.095446416666666,4.4399999999999995,327.395,6.04,317.0,8.0,327.3333333333333,284.33333333333326,75.66666666666674,port
2025-07-26 14:17:31,53.299500333333334,-6.095465833333333,4.43,328.51,6.06,317.4,7.88,327.6666666666667,285.0666666666666,74.9333333333334,port
2025-07-26 14:17:32,53.299518,-6.095484666666667,4.52,327.17,6.08,317.8,7.76,328.0,285.79999999999995,74.20000000000005,port
2025-07-26 14:17:33,53.299531458333334,-6.095497666666667,4.46,327.145,6.1,318.2,7.640000000000001,328.3333333333333,286.5333333333333,73.4666666666667,port
2025-07-26 14:17:34,53.29954491666666,-6.095510666666667,4.3999999999999995,327.12,6.0,318.6,7.5200000000000005,328.6666666666667,287.26666666666665,72.73333333333335,port
2025-07-26 14:17:35,53.299558375,-6.095523666666667,4.34,327.09499999999997,5.9,319.0,7.4,329.0,288.0,72.0,port
2025-07-26 14:17:36,53.29957183333333,-6.095536666666667,4.28,327.07,5.8,321.0,8.285714285714286,329.3333333333333,290.33333333333326,69.66666666666674,port
2025-07-26 14:17:37,53.299607333333334,-6.095571333333333,4.48,328.06,5.7,323.0,9.17142857142857,329.6666666666667,292.66666666666674,67.33333333333326,port
2025-07-26 14:17:38,53.299625,-6.095590166666667,4.5,326.76,5.6000000000000005,325.0,10.057142857142857,330.0,295.0,65.0,port
2025-07-26 14:17:39,53.299643,-6.095607833333333,4.51,331.67,5.5,327.0,10.942857142857143,330.3333333333333,297.33333333333326,62.66666666666674,port
2025-07-26 14:17:40,53.299661404761906,-6.095625714285714,4.554285714285714,330.40285714285716,5.4,329.0,11.82857142857143,330.6666666666667,299.66666666666674,60.33333333333326,port
2025-07-26 14:17:41,53.29967980952381,-6.095643595238095,4.598571428571429,329.1357142857143,5.6000000000000005,331.0,12.714285714285714,331.0,302.0,58.0,port
2025-07-26 14:17:42,53.29969821428571,-6.095661476190476,4.642857142857143,327.86857142857144,5.8,333.0,13.6,330.6666666666667,303.66666666666674,56.33333333333326,port
2025-07-26 14:17:43,53.29971661904762,-6.095679357142857,4.687142857142857,326.6014285714286,6.0,330.6,12.74,330.3333333333333,300.9333333333334,59.066666666666606,port
